週,感冒: (全球)
2013-04-28,51
2013-05-05,52
2013-05-12,46
2013-05-19,40
2013-05-26,46
2013-06-02,47
2013-06-09,46
2013-06-16,46
2013-06-23,50
2013-06-30,45
2013-07-07,45
2013-07-14,48
2013-07-21,45
2013-07-28,48
2013-08-04,54
2013-08-11,55
2013-08-18,51
2013-08-25,47
2013-09-01,54
2013-09-08,53
2013-09-15,52
2013-09-22,63
2013-09-29,62
2013-10-06,64
2013-10-13,68
2013-10-20,70
2013-10-27,75
2013-11-03,63
2013-11-10,63
2013-11-17,75
2013-11-24,66
2013-12-01,75
2013-12-08,82
2013-12-15,77
2013-12-22,98
2013-12-29,98
2014-01-05,91
2014-01-12,87
2014-01-19,84
2014-01-26,65
2014-02-02,73
2014-02-09,75
2014-02-16,64
2014-02-23,71
2014-03-02,76
2014-03-09,77
2014-03-16,69
2014-03-23,72
2014-03-30,60
2014-04-06,59
2014-04-13,58
2014-04-20,60
2014-04-27,56
2014-05-04,58
2014-05-11,59
2014-05-18,53
2014-05-25,42
2014-06-01,35
2014-06-08,34
2014-06-15,34
2014-06-22,34
2014-06-29,30
2014-07-06,30
2014-07-13,35
2014-07-20,30
2014-07-27,30
2014-08-03,28
2014-08-10,33
2014-08-17,31
2014-08-24,33
2014-08-31,31
2014-09-07,33
2014-09-14,37
2014-09-21,38
2014-09-28,41
2014-10-05,42
2014-10-12,46
2014-10-19,48
2014-10-26,41
2014-11-02,44
2014-11-09,47
2014-11-16,51
2014-11-23,45
2014-11-30,55
2014-12-07,56
2014-12-14,59
2014-12-21,69
2014-12-28,61
2015-01-04,66
2015-01-11,62
2015-01-18,52
2015-01-25,57
2015-02-01,57
2015-02-08,58
2015-02-15,51
2015-02-22,52
2015-03-01,51
2015-03-08,57
2015-03-15,48
2015-03-22,54
2015-03-29,49
2015-04-05,52
2015-04-12,53
2015-04-19,47
2015-04-26,44
2015-05-03,41
2015-05-10,43
2015-05-17,47
2015-05-24,45
2015-05-31,44
2015-06-07,45
2015-06-14,43
2015-06-21,44
2015-06-28,39
2015-07-05,38
2015-07-12,36
2015-07-19,40
2015-07-26,33
2015-08-02,38
2015-08-09,32
2015-08-16,36
2015-08-23,34
2015-08-30,45
2015-09-06,48
2015-09-13,51
2015-09-20,54
2015-09-27,51
2015-10-04,51
2015-10-11,59
2015-10-18,55
2015-10-25,54
2015-11-01,55
2015-11-08,56
2015-11-15,54
2015-11-22,62
2015-11-29,61
2015-12-06,55
2015-12-13,65
2015-12-20,65
2015-12-27,66
2016-01-03,42
2016-01-10,44
2016-01-17,47
2016-01-24,45
2016-01-31,54
2016-02-07,59
2016-02-14,69
2016-02-21,68
2016-02-28,60
2016-03-06,55
2016-03-13,50
2016-03-20,46
2016-03-27,56
2016-04-03,44
2016-04-10,46
2016-04-17,38
2016-04-24,43
2016-05-01,38
2016-05-08,37
2016-05-15,35
2016-05-22,33
2016-05-29,32
2016-06-05,31
2016-06-12,31
2016-06-19,31
2016-06-26,26
2016-07-03,28
2016-07-10,31
2016-07-17,30
2016-07-24,38
2016-07-31,30
2016-08-07,30
2016-08-14,30
2016-08-21,36
2016-08-28,35
2016-09-04,34
2016-09-11,35
2016-09-18,41
2016-09-25,35
2016-10-02,37
2016-10-09,43
2016-10-16,40
2016-10-23,41
2016-10-30,45
2016-11-06,43
2016-11-13,47
2016-11-20,47
2016-11-27,52
2016-12-04,52
2016-12-11,57
2016-12-18,58
2016-12-25,64
2017-01-01,65
2017-01-08,62
2017-01-15,62
2017-01-22,56
2017-01-29,62
2017-02-05,67
2017-02-12,63
2017-02-19,59
2017-02-26,61
2017-03-05,62
2017-03-12,60
2017-03-19,56
2017-03-26,57
2017-04-02,63
2017-04-09,55
2017-04-16,56
2017-04-23,58
2017-04-30,56
2017-05-07,48
2017-05-14,56
2017-05-21,52
2017-05-28,55
2017-06-04,49
2017-06-11,52
2017-06-18,51
2017-06-25,57
2017-07-02,56
2017-07-09,54
2017-07-16,60
2017-07-23,51
2017-07-30,47
2017-08-06,43
2017-08-13,40
2017-08-20,44
2017-08-27,43
2017-09-03,50
2017-09-10,51
2017-09-17,59
2017-09-24,59
2017-10-01,56
2017-10-08,60
2017-10-15,59
2017-10-22,63
2017-10-29,68
2017-11-05,67
2017-11-12,63
2017-11-19,68
2017-11-26,64
2017-12-03,73
2017-12-10,73
2017-12-17,83
2017-12-24,100
2017-12-31,92
2018-01-07,85
2018-01-14,86
2018-01-21,86
2018-01-28,76
2018-02-04,75
2018-02-11,73
2018-02-18,80
2018-02-25,79
2018-03-04,70
2018-03-11,69
2018-03-18,67
2018-03-25,68
2018-04-01,62
2018-04-08,63
2018-04-15,55
2018-04-22,58
